81,"[array([[0.92653593, 0.93014165, 0.92501844, ..., 0.93709584, 0.93171584,
        0.92910196],
       [0.93764555, 0.92252487, 0.92552246, ..., 0.92203137, 0.92252487,
        0.93600296],
       [0.94500077, 0.93986671, 0.92351705, ..., 0.91250161, 0.92451621,
        0.93491867],
       ...,
       [0.93066441, 0.93118913, 0.9230201 , ..., 0.93066441, 0.93171584,
        0.9270454 ],
       [0.92858499, 0.91112473, 0.92056101, ..., 0.92203137, 0.93171584,
        0.92755673],
       [0.9270454 , 0.92602829, 0.90012547, ..., 0.9270454 , 0.92910196,
        0.9343797 ]]), '4']"
90,"[array([[0.93875163, 0.92007423, 0.93277526, ..., 0.91389162, 0.9066264 ,
        0.93986671],
       [0.90399183, 0.9230201 , 0.96170468, ..., 0.93384282, 0.93171584,
        0.92351705],
       [0.91342681, 0.93819747, 0.93600296, ..., 0.95278045, 0.91342681,
        0.91862374],
       ...,
       [0.93224454, 0.91671225, 0.91112473, ..., 0.91435793, 0.93224454,
        0.93066441],
       [0.94099097, 0.90530326, 0.91671225, ..., 0.94269495, 0.93545975,
        0.93066441],
       [0.92351705, 0.93819747, 0.91435793, ..., 0.92910196, 0.92056101,
        0.93545975]]), '2']"
92,"[array([[0.92252487, 0.92351705, 0.92252487, ..., 0.91718775, 0.93545975,
        0.90885835],
       [0.9343797 , 0.93014165, 0.93118913, ..., 0.92401575, 0.93986671,
        0.93654831],
       [0.94384295, 0.93986671, 0.93384282, ..., 0.92858499, 0.92653593,
        0.92858499],
       ...,
       [0.93066441, 0.90618404, 0.93277526, ..., 0.93764555, 0.9230201 ,
        0.93014165],
       [0.92203137, 0.93930803, 0.94675636, ..., 0.91389162, 0.93014165,
        0.92153956],
       [0.93545975, 0.92602829, 0.92755673, ..., 0.94384295, 0.91112473,
        0.93709584]]), '5']"
94,"[array([[0.94500077, 0.94558342, 0.93764555, ..., 0.92910196, 0.90012547,
        0.9270454 ],
       [0.92252487, 0.93764555, 0.93654831, ..., 0.94384295, 0.92755673,
        0.92007423],
       [0.91910561, 0.92755673, 0.92203137, ..., 0.9230201 , 0.93764555,
        0.94500077],
       ...,
       [0.93277526, 0.92351705, 0.92056101, ..., 0.91718775, 0.93764555,
        0.93066441],
       [0.93330801, 0.93384282, 0.91766482, ..., 0.92910196, 0.93224454,
        0.92552246],
       [0.93118913, 0.91529507, 0.92203137, ..., 0.93171584, 0.92351705,
        0.92602829]]), '1']"
98,"[array([[0.92962084, 0.93171584, 0.92858499, ..., 0.92501844, 0.9270454 ,
        0.92401575],
       [0.91910561, 0.93277526, 0.92203137, ..., 0.92962084, 0.94269495,
        0.91910561],
       [0.93277526, 0.93654831, 0.94042768, ..., 0.9195891 , 0.93118913,
        0.93491867],
       ...,
       [0.94675636, 0.92806992, 0.92501844, ..., 0.93118913, 0.94384295,
        0.92552246],
       [0.94442062, 0.9270454 , 0.92910196, ..., 0.94734669, 0.92602829,
        0.93330801],
       [0.9343797 , 0.92653593, 0.92401575, ..., 0.93600296, 0.93545975,
        0.95033803]]), '2']"
100,"[array([[0.93224454, 0.92104945, 0.91910561, ..., 0.9195891 , 0.92552246,
        0.92501844],
       [0.92755673, 0.93600296, 0.9343797 , ..., 0.9485352 , 0.95094444,
        0.90976071],
       [0.93986671, 0.93066441, 0.92653593, ..., 0.92755673, 0.93224454,
        0.93118913],
       ...,
       [0.94042768, 0.92401575, 0.9230201 , ..., 0.93171584, 0.92007423,
        0.93171584],
       [0.94616861, 0.92602829, 0.92755673, ..., 0.93986671, 0.92351705,
        0.92806992],
       [0.94155659, 0.94212458, 0.91910561, ..., 0.93118913, 0.92858499,
        0.93277526]]), '2']"
104,"[array([[0.93224454, 0.9343797 , 0.94269495, ..., 0.93118913, 0.93171584,
        0.92806992],
       [0.90885835, 0.92252487, 0.93930803, ..., 0.92858499, 0.93118913,
        0.92203137],
       [0.92351705, 0.93277526, 0.93764555, ..., 0.92056101, 0.93171584,
        0.9195891 ],
       ...,
       [0.92653593, 0.90574299, 0.92552246, ..., 0.92910196, 0.92401575,
        0.92252487],
       [0.93330801, 0.92203137, 0.91623831, ..., 0.93014165, 0.93764555,
        0.93014165],
       [0.93875163, 0.9195891 , 0.92401575, ..., 0.93764555, 0.92351705,
        0.92104945]]), '1']"
106,"[array([[0.9546423 , 0.91250161, 0.93986671, ..., 0.90930884, 0.92401575,
        0.91342681],
       [0.94442062, 0.92806992, 0.92401575, ..., 0.93224454, 0.92653593,
        0.91814348],
       [0.94442062, 0.92755673, 0.93875163, ..., 0.92007423, 0.93654831,
        0.91910561],
       ...,
       [0.93118913, 0.87122713, 0.90618404, ..., 0.93384282, 0.93171584,
        0.92806992],
       [0.93875163, 0.88712931, 0.92007423, ..., 0.93171584, 0.93014165,
        0.92653593],
       [0.94558342, 0.93384282, 0.92451621, ..., 0.93014165, 0.9270454 ,
        0.9485352 ]]), '0']"
109,"[array([[0.93277526, 0.91576592, 0.92653593, ..., 0.91671225, 0.89430242,
        0.91576592],
       [0.93930803, 0.93330801, 0.9195891 , ..., 0.94155659, 0.92104945,
        0.91814348],
       [0.93118913, 0.91671225, 0.93118913, ..., 0.91862374, 0.93171584,
        0.91296348],
       ...,
       [0.93875163, 0.89471099, 0.91021397, ..., 0.93875163, 0.94212458,
        0.92962084],
       [0.9195891 , 0.91529507, 0.91862374, ..., 0.91910561, 0.93330801,
        0.93277526],
       [0.92401575, 0.93930803, 0.92056101, ..., 0.92351705, 0.94155659,
        0.93709584]]), '1']"
111,"[array([[0.95155362, 0.93654831, 0.93171584, ..., 0.90930884, 0.90269187,
        0.91814348],
       [0.94099097, 0.92653593, 0.92203137, ..., 0.93118913, 0.93224454,
        0.92104945],
       [0.93384282, 0.92806992, 0.93986671, ..., 0.93330801, 0.92962084,
        0.92755673],
       ...,
       [0.91158225, 0.88442775, 0.88987905, ..., 0.92653593, 0.93118913,
        0.93171584],
       [0.92962084, 0.91910561, 0.90976071, ..., 0.92104945, 0.93330801,
        0.93118913],
       [0.92104945, 0.91482574, 0.91623831, ..., 0.93491867, 0.94099097,
        0.95526881]]), '1']"
